plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2768,1.0,0.7,1.0,0.3332309465741812,-0.0825484484319,0.0,0.0,1.2133212,0.7317657,2.7708178
2769,1.0,0.7,1.0,0.33376491798003494,-0.0823658210937,0.0,0.0,1.2192606,0.7324061,2.7756927
2770,1.0,0.7,1.0,0.2922513628672719,-0.110012886365,0.0,0.0,0.74524456,0.7270913,2.7778668
2771,1.0,0.7,1.0,0.33910746120989815,-0.0945547597285,0.0,0.0,1.3954357,0.99019307,3.8074968
2772,1.0,0.7,1.0,0.34151476589041546,-0.0925334206976,0.0,0.0,1.3851091,0.98944616,3.8046658
2773,1.0,0.7,1.0,0.3278048001684159,-0.0891912087744,0.0,0.0,1.366792,0.9880595,3.7983043
2774,1.0,0.7,1.0,0.27931471042858563,-0.087175127833,0.0,0.0,1.3456198,0.9861957,3.7887995
2775,1.0,0.7,1.0,0.2720953570939184,-0.0849014589989,0.0,0.0,1.3196783,0.9838561,3.776512
2776,0.95,0.7,1.0,0.20354527291262703,-0.0820719131878,0.0,0.0,0.53008854,0.9810843,3.761773
2777,1.0,0.7,1.0,0.24811575044524312,-0.0812885136744,0.0,0.0,1.2631493,0.978328,3.747582
2778,0.95,0.7,1.0,0.24719569878991132,-0.073193970643,0.0,0.0,0.5014344,0.97495466,3.7312407
2779,1.0,0.7,1.0,0.06279954345890225,-0.0709453021596,0.0,0.0,1.1928124,0.97178835,3.71564
2780,1.0,0.7,1.0,0.05107869312320844,-0.0675284316515,0.0,0.0,1.1587999,0.96829003,3.6981637
2781,1.0,0.7,1.0,0.13683642469763302,29.938748732,0.0,0.0,344.78543,1.8816212,3.6790686
2782,1.0,0.7,1.0,0.29654546785251584,-0.154626652455,0.0,0.0,2.0647354,0.8196514,3.0416117
2783,0.95,0.7,0.95,0.3348287926803136,-0.131330423389,0.0,0.0,0.15307689,0.6905737,2.3792725
